language,frequency_list_version,level,rank,source_rank,display_form,lemma,lemma_key,part_of_speech,definition_seed,source_provenance,curation_flags
hr,v1,1,80,85,nego,nego,nego,unknown,nego,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,81,86,nas,nas,nas,unknown,nas,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,82,87,broj,broj,broj,unknown,broj,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,83,89,između,između,između,unknown,između,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,84,90,kad,kad,kad,unknown,kad,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,85,91,svi,svi,svi,unknown,svi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,86,92,bili,bili,bili,unknown,bili,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,87,93,dva,dva,dva,unknown,dva,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,88,94,pre,pre,pre,unknown,pre,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,89,95,prvi,prvi,prvi,unknown,prvi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,90,96,svoje,svoje,svoje,unknown,svoje,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,91,97,gdje,gdje,gdje,unknown,gdje,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,92,98,nema,nema,nema,unknown,nema,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,93,99,ona,ona,ona,unknown,ona,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,94,100,tu,tu,tu,unknown,tu,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,95,101,bih,bih,bih,unknown,bih,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,96,102,bude,bude,bude,unknown,bude,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,97,103,ko,ko,ko,unknown,ko,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,98,104,nam,nam,nam,unknown,nam,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,99,105,nisu,nisu,nisu,unknown,nisu,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,100,106,im,im,im,unknown,im,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,101,107,radi,radi,radi,unknown,radi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,102,108,ti,ti,ti,unknown,ti,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,103,109,tome,tome,tome,unknown,tome,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,104,110,mnogo,mnogo,mnogo,unknown,mnogo,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,105,112,danas,danas,danas,unknown,danas,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,106,113,uz,uz,uz,unknown,uz,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,107,114,vidi,vidi,vidi,unknown,vidi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,108,115,taj,taj,taj,unknown,taj,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,109,116,tri,tri,tri,unknown,tri,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,110,117,nešto,nešto,nešto,unknown,nešto,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,111,118,ono,ono,ono,unknown,ono,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,112,119,put,put,put,unknown,put,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,113,120,vreme,vreme,vreme,unknown,vreme,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,114,122,grada,grada,grada,unknown,grada,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,115,123,dan,dan,dan,unknown,dan,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,116,124,kaže,kaže,kaže,unknown,kaže,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,117,125,koju,koju,koju,unknown,koju,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,118,126,nekoliko,nekoliko,nekoliko,unknown,nekoliko,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,119,127,onda,onda,onda,unknown,onda,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,120,128,tokom,tokom,tokom,unknown,tokom,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,121,129,uvek,uvek,uvek,unknown,uvek,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,122,130,već,već,već,unknown,već,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,123,131,svoju,svoju,svoju,unknown,svoju,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,124,132,zato,zato,zato,unknown,zato,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,125,133,opštine,opštine,opštine,unknown,opštine,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,126,134,protiv,protiv,protiv,unknown,protiv,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,127,135,svoj,svoj,svoj,unknown,svoj,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,128,136,vrijeme,vrijeme,vrijeme,unknown,vrijeme,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,129,137,odnosno,odnosno,odnosno,unknown,odnosno,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,130,139,dobro,dobro,dobro,unknown,dobro,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,131,140,neće,neće,neće,unknown,neće,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,132,141,postoji,postoji,postoji,unknown,postoji,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,133,142,ove,ove,ove,unknown,ove,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,134,143,vam,vam,vam,unknown,vam,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,135,144,me,me,me,unknown,me,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,136,145,novi,novi,novi,unknown,novi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,137,146,drugi,drugi,drugi,unknown,drugi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,138,147,koliko,koliko,koliko,unknown,koliko,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,139,148,možete,možete,možete,unknown,možete,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,140,149,puta,puta,puta,unknown,puta,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,141,150,život,život,život,unknown,život,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,142,152,njih,njih,njih,unknown,njih,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,143,153,strane,strane,strane,unknown,strane,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,144,154,neki,neki,neki,unknown,neki,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,145,155,preko,preko,preko,unknown,preko,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,146,156,tim,tim,tim,unknown,tim,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,147,157,ime,ime,ime,unknown,ime,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,148,158,jednom,jednom,jednom,unknown,jednom,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,149,159,ovde,ovde,ovde,unknown,ovde,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,150,160,republike,republike,republike,unknown,republike,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,151,161,malo,malo,malo,unknown,malo,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,152,162,mora,mora,mora,unknown,mora,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,153,163,ova,ova,ova,unknown,ova,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,154,164,dalje,dalje,dalje,unknown,dalje,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,155,165,grad,grad,grad,unknown,grad,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,156,166,jedna,jedna,jedna,unknown,jedna,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,157,167,kroz,kroz,kroz,unknown,kroz,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,158,168,među,među,među,unknown,među,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,159,169,nalazi,nalazi,nalazi,unknown,nalazi,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,160,170,veoma,veoma,veoma,unknown,veoma,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,161,171,vremena,vremena,vremena,unknown,vremena,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,162,173,iako,iako,iako,unknown,iako,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,163,174,veliki,veliki,veliki,unknown,veliki,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,164,175,prije,prije,prije,unknown,prije,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,165,176,rata,rata,rata,unknown,rata,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,166,177,ste,ste,ste,unknown,ste,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,167,178,vas,vas,vas,unknown,vas,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,168,180,ta,ta,ta,unknown,ta,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,169,181,tada,tada,tada,unknown,tada,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,170,182,međutim,međutim,međutim,unknown,međutim,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,171,183,države,države,države,unknown,države,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,172,184,ništa,ništa,ništa,unknown,ništa,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,173,185,njega,njega,njega,unknown,njega,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,174,186,sebe,sebe,sebe,unknown,sebe,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,175,187,zemlje,zemlje,zemlje,unknown,zemlje,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,176,188,imao,imao,imao,unknown,imao,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,177,189,možda,možda,možda,unknown,možda,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
hr,v1,1,178,190,ovog,ovog,ovog,unknown,ovog,wordfreq:sh,wordfreq_seeded;deterministically_filtered;structurally_curated
